7230;10
7230;10
7230;10
7050;10
7050;10
7050;10
7051;10
7051;10
7051;10
7053;10
7053;10
7053;10
7860;10
1010;101
1010;101
1010;101
1010;101
1010;101
1010;101
3000;10
1150;10
1150;10
1150;10
1150;10
8372;40
1150;10
8372;50
1150;20
1150;20
8371;100
8371;30
8371;30
8372;50
1150;20
8372;50
2100;200
2100;200
2100;220
2100;10
2100;10
2100;10
3000;10
3000;10
3180;130
1150;10
3130;30
3130;30
3130;30
3130;40
1000;30
1000;30
8370;10
8050;10
9000;10
7045;10
7045;10
7045;10
7430;10
7510;10
7510;10
7410;10
7410;10
7610;10
7610;10
7610;10
7610;10
7620;10
7620;10
7630;10
7630;10
7640;10
7640;10
7640;10
7660;10
7660;10
7690;10
7690;10
7690;20
7005;10
7005;10
7540;10
7540;10
7770;10
7005;10
7005;10
7005;10
7005;10
7770;10
7770;10
7770;10
7770;10
2011;10
2011;10
2011;10
2021;10
2021;10
2140;10
1320;10
1320;10
1320;10
1570;10
1570;10
1570;10
1330;10
1330;10
3210;10
8371;100
8372;50
8370;10
7860;10
7430;10
7430;10
7440;10
7440;10
7510;10
7510;10
7540;10
7540;10
7710;20
9100;103
7440;80
9000;100
9000;142
3180;10
3096;10
9100;130
1030;111
1030;111
1030;20
1030;10
1030;30
1030;220
1030;100
1030;20
1020;112
1030;40
1020;103
1030;150
1030;150
1030;150
1030;150
1030;150
1030;150
1030;150
1030;150
1030;150
1030;150
1030;150
1030;150
1030;150
1030;310
1030;110
1030;110
1030;150
1020;109
1030;10
1020;103
1030;219
1030;20
1510;10
1510;101
1030;20
1030;40
1030;30
1030;111
1030;111
1030;111
1030;320
1030;111
1030;10
1020;109
1020;109
1020;100
1020;100
1020;100
1020;100
1320;10
1320;10
1320;10
1320;10
1320;10
1320;10
1030;40
1030;220
1510;10
1510;10
1510;10
1030;40
1510;100
1020;112
1510;10
1030;100
1030;220
1030;112
1030;112
1020;10
1030;10
1020;109
1030;219
1510;10
1020;10
1020;310
